,Port_ID,total_trades,total_volume,total_realized_profit,avg_trade_profit,max_single_trade_profit,min_single_trade_profit,win_rate,profit_std_dev,win_positions,loss_positions,long_trades_ratio,short_trades_ratio,roi,sharpe_ratio,mdd,composite_score,rank
96,4020204877254599680,5598,1275869846976.3547,70638.37124428,12.618501472718828,5520.24882013,-1833.67019129,0.3272597356198642,202.94319719337213,1832,920,0.6357627724187209,0.364237227581279,5.536487237446965e-06,348.069667873484,-0.9296458424060654,4.9070655160234615,1.0
30,3936410995029308417,19,37533240813.61074,10681.514000000001,562.1849473684211,8037.0024,0.0,0.3157894736842105,1830.7025081916506,6,0,0.8421052631578947,0.15789473684210525,2.845881082596669e-05,5.834653064713989,0.0,1.8451118020979607,2.0
98,4021669203289716224,1616,249224591061.38293,26438.767141610002,16.360623231194307,8186.25405784,-412.63190906,0.3162128712871287,234.84153423638122,511,362,0.18007425742574257,0.8199257425742574,1.0608410281270459e-05,112.58130818970845,-3.2724126510303813,1.5876740693938465,3.0
58,3977234346014419201,71,6515.78127828568,2427.29283086,34.18722296985915,792.53489999,0.0,0.4647887323943662,103.0388389554986,33,0,0.28169014084507044,0.7183098591549296,37.252521642326016,23.557066980425915,0.0,1.4202751901243629,4.0
99,4022565861939831809,631,390410894083.67035,13807.949796790002,21.882646270665614,708.61704495,-385.07555369,0.526148969889065,69.819407276914,332,17,0.4231378763866878,0.5768621236133122,3.536773693059593e-06,197.76664304848148,-0.08590110805118006,1.128334613815029,5.0
50,3960874214179953664,2231,305293129944.00415,19277.53925264,8.640761655150156,855.0,-1079.6384,0.5060510981622591,51.95524303738544,1129,114,0.897355445988346,0.10264455401165397,6.314435983599049e-06,371.04126793841493,-0.11020251395956882,1.0386178126330727,6.0
107,4028701921959171840,591,268649715737.82053,15750.62151397,26.650797823976312,1351.87140065,-101.94562227,0.5008460236886633,96.26027321313829,296,7,0.5820642978003384,0.4179357021996616,5.862884116855451e-06,163.62535642398575,-0.07031386796332052,0.9117365244354896,7.0
75,3999240873283311617,4369,42308845.58327539,42220.38458333,9.663626592659648,1400.12446925,-160.44960932,0.5209430075532159,42.0729075555077,2276,29,0.0,0.0,0.09979091606323487,1003.5052730222586,-0.008163414949482127,0.8507200554651717,8.0
51,3962024093501274881,1120,302822090770.49084,8848.38086449,7.900340057580357,1355.57599999,-592.0988988,0.25535714285714284,104.38561344986255,286,322,0.4294642857142857,0.5705357142857143,2.921973374523788e-06,84.76628696290572,-86.96022047279631,0.6684852667833072,9.0
102,4023697433751327232,42,10550.850018602,2408.22399998,57.33866666619048,802.29456999,0.0,0.09523809523809523,191.0274258862195,4,0,0.0,1.0,22.824928756774163,12.606692409782015,0.0,0.626464468435387,10.0
61,3983074113875692800,42,12875.6988696754,2424.82951996,57.73403618952381,706.01184,0.0,0.3333333333333333,158.20331742362282,14,0,0.07142857142857142,0.9285714285714286,18.83260508422508,15.32729881679413,0.0,0.6185800837406487,11.0
110,4029506971304830209,50,10932.1767158756,2413.65400002,48.27308000039999,807.12855,-1.09005724,0.06,193.11910684236588,3,2,0.22,0.78,22.078439296676528,12.49826617099132,-0.0007884205303000753,0.5533377632328013,12.0
81,4004713168329653760,27,8383.8241336711,1667.19861,61.74809666666666,859.47966,0.0,0.07407407407407407,222.586962021416,2,0,0.0,1.0,19.885896738985732,7.490100025892764,0.0,0.49146101593343283,13.0
93,4017263283405469185,5879,122685642746.4568,5975.42099233,1.0164009172189148,1988.54248328,-449.93098114,0.3350910018710665,39.23631160932078,1970,1635,0.5240687191699268,0.47593128083007313,4.870513662856914e-06,152.29313733226925,-0.9452681817697328,0.3900791107685271,14.0
62,3986814617275053313,3390,17526660.062423334,15847.596344460002,4.674807181256638,510.00288246,-1.65161759,0.7790560471976401,13.990476127946513,2641,2,0.0,0.0,0.09041994474712728,1132.7417451364518,-0.006969024848371109,0.3855586835398524,15.0
48,3956076827719377409,3833,6474691124.582502,16618.82917513,4.335723760795721,1901.98218855,-66.6284797,0.5121314896947561,43.539223540598115,1963,202,0.9827811114009913,0.017218888599008608,0.0002566736984878426,381.69787662000414,-0.04324873774910934,0.3712071579553817,16.0
73,3998572645139652353,247,129754230296.03986,9432.841263499999,38.189640742914975,1218.10303253,-214.71515507,0.3481781376518219,142.61826045472154,86,20,0.2834008097165992,0.7165991902834008,7.269775514816408e-06,66.14048743424927,-0.06069894477129876,0.3355193619122992,17.0
103,4023697881318718465,67,20596.321814119998,3151.95061998,47.0440391041791,808.94101,0.0,0.08955223880597014,166.60087484037356,6,0,0.43283582089552236,0.5671641791044776,15.303463639896863,18.919172081179045,0.0,0.3092907197052192,18.0
17,3907081197088384000,3950,46846334.432659715,17057.534111039997,4.318363066086075,268.06477018,-569.61172309,0.6096202531645569,19.71302277723506,2408,60,0.0,0.0,0.03641167301053132,865.2926699165757,-0.1822043961184164,0.2837605106839661,19.0
32,3939318616482048768,190,3058599936.191147,9406.8656064,49.50981898105263,2083.85064,-49.511871,0.5736842105263158,192.72793143196031,109,3,0.0,0.0,0.0003075546263861597,48.80904151519393,-0.01757949907590631,0.27343983665426486,20.0
